Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Season,Round,EventName
0 days 01:00:31.298000,HAM,44,0 days 00:01:38.924000,13.0,1.0,,0 days 01:00:29.611000,0 days 00:00:30.770000,0 days 00:00:41.776000,0 days 00:00:26.378000,0 days 00:59:23.146000,0 days 01:00:04.922000,0 days 01:00:31.300000,230.0,253.0,,290.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:58:52.374000,,1,2.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:02:26.304000,HAM,44,0 days 00:01:55.006000,14.0,2.0,0 days 01:00:54.547000,,0 days 00:00:51.319000,0 days 00:00:40.418000,0 days 00:00:23.269000,0 days 01:01:22.619000,0 days 01:02:03.037000,0 days 01:02:26.306000,233.0,257.0,280.0,221.0,False,HARD,1.0,True,Mercedes,0 days 01:00:31.298000,,1,4.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:24:42.938000,HAM,44,0 days 00:01:37.835000,28.0,2.0,,0 days 01:24:41.240000,0 days 00:00:30.543000,0 days 00:00:41.164000,0 days 00:00:26.128000,0 days 01:23:35.648000,0 days 01:24:16.812000,0 days 01:24:42.940000,232.0,255.0,,285.0,False,HARD,15.0,True,Mercedes,0 days 01:23:05.103000,,1,2.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:26:38.132000,HAM,44,0 days 00:01:55.194000,29.0,3.0,0 days 01:25:05.375000,,0 days 00:00:50.613000,0 days 00:00:41.312000,0 days 00:00:23.269000,0 days 01:25:33.553000,0 days 01:26:14.865000,0 days 01:26:38.134000,231.0,255.0,277.0,223.0,False,HARD,1.0,True,Mercedes,0 days 01:24:42.938000,,1,3.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:06:56.905000,VER,33,0 days 00:01:39.153000,17.0,1.0,,0 days 01:06:55.220000,0 days 00:00:31.143000,0 days 00:00:41.614000,0 days 00:00:26.396000,0 days 01:05:48.921000,0 days 01:06:30.535000,0 days 01:06:56.931000,231.0,251.0,,283.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:05:17.752000,,1,1.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:08:52.437000,VER,33,0 days 00:01:55.532000,18.0,2.0,0 days 01:07:20.122000,,0 days 00:00:51.372000,0 days 00:00:40.699000,0 days 00:00:23.461000,0 days 01:07:48.303000,0 days 01:08:29.002000,0 days 01:08:52.463000,235.0,258.0,274.0,220.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:06:56.905000,,1,2.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:42:15.088000,VER,33,0 days 00:01:37.828000,39.0,2.0,,0 days 01:42:13.427000,0 days 00:00:30.811000,0 days 00:00:41.084000,0 days 00:00:25.933000,0 days 01:41:08.097000,0 days 01:41:49.181000,0 days 01:42:15.114000,232.0,262.0,,285.0,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:40:37.260000,,1,1.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:44:08.525000,VER,33,0 days 00:01:53.437000,40.0,3.0,0 days 01:42:37.245000,,0 days 00:00:50.120000,0 days 00:00:40.205000,0 days 00:00:23.112000,0 days 01:43:05.234000,0 days 01:43:45.439000,0 days 01:44:08.551000,235.0,257.0,276.0,220.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:42:15.088000,,1,2.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:05:26.391000,BOT,77,0 days 00:01:39.534000,16.0,1.0,,0 days 01:05:24.696000,0 days 00:00:30.967000,0 days 00:00:41.984000,0 days 00:00:26.583000,0 days 01:04:17.840000,0 days 01:04:59.824000,0 days 01:05:26.407000,232.0,253.0,,288.0,False,MEDIUM,19.0,False,Mercedes,0 days 01:03:46.857000,,1,2.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:07:21.110000,BOT,77,0 days 00:01:54.719000,17.0,2.0,0 days 01:05:48.940000,,0 days 00:00:50.913000,0 days 00:00:40.348000,0 days 00:00:23.458000,0 days 01:06:17.320000,0 days 01:06:57.668000,0 days 01:07:21.126000,238.0,263.0,279.0,220.0,False,HARD,1.0,True,Mercedes,0 days 01:05:26.391000,,1,4.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:28:01.018000,BOT,77,0 days 00:01:38.028000,30.0,2.0,,0 days 01:27:59.311000,0 days 00:00:30.631000,0 days 00:00:41.157000,0 days 00:00:26.240000,0 days 01:26:53.637000,0 days 01:27:34.794000,0 days 01:28:01.034000,233.0,255.0,,295.0,False,HARD,14.0,True,Mercedes,0 days 01:26:22.990000,,1,2.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 01:30:04.836000,BOT,77,0 days 00:02:03.818000,31.0,3.0,0 days 01:28:32.248000,,0 days 00:00:59.583000,0 days 00:00:40.881000,0 days 00:00:23.354000,0 days 01:29:00.617000,0 days 01:29:41.498000,0 days 01:30:04.852000,236.0,253.0,280.0,221.0,False,HARD,1.0,True,Mercedes,0 days 01:28:01.018000,,1,5.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 02:06:23.439000,BOT,77,0 days 00:01:37.802000,54.0,3.0,,0 days 02:06:21.738000,0 days 00:00:30.429000,0 days 00:00:41.173000,0 days 00:00:26.200000,0 days 02:05:16.082000,0 days 02:05:57.255000,0 days 02:06:23.455000,237.0,255.0,,297.0,False,HARD,24.0,True,Mercedes,0 days 02:04:45.637000,,1,3.0,,,False,False,2021,1,Bahrain Grand Prix
0 days 02:08:19.338000,BOT,77,0 days 00:01:55.899000,55.0,4.0,0 days 02:06:46.324000,,0 days 00:00:51.053000,0 days 00:00:41.034000,0 days 00:00:23.812000,0 days 02:07:14.508000,0 days 02:07:55.542000,0 days 02:08:19.354000,237.0,245.0,280.0,221.0,False,MEDIUM,4.0,False,Mercedes,0 days 02:06:23.439000,,1,3.0,,,False,False,2021,1,Bahrain Grand Prix
