Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Season,Round,EventName
2021-03-28 15:08:12,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2021,1,Bahrain Grand Prix
2021-03-28 15:12:15,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,3.0,2021,1,Bahrain Grand Prix
2021-03-28 15:15:33,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,4.0,2021,1,Bahrain Grand Prix
2021-03-28 15:16:16,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,5.0,2021,1,Bahrain Grand Prix
2021-04-18 13:04:56,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,2.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:15:06,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,6.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:24:20,Other,TURN 9 INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,,,,,,11.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:25:23,Other,10 SECOND TIME PENALTY FOR CAR 11 (PER) - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,,,,,,12.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:54:44,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,32.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 14:22:42,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,34.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 14:25:35,Other,SAFETY CAR WILL ENTER PITS: ROLLING START,,,,,,34.0,2021,2,Emilia Romagna Grand Prix
2021-05-02 14:05:04,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,2.0,2021,3,Portuguese Grand Prix
2021-05-02 14:05:09,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,2.0,2021,3,Portuguese Grand Prix
2021-05-02 14:09:46,Other,SAFETY CAR WILL USE START/FINISH STRAIGHT,,,,,,4.0,2021,3,Portuguese Grand Prix
2021-05-02 14:13:29,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,6.0,2021,3,Portuguese Grand Prix
2021-05-09 13:14:22,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,8.0,2021,4,Spanish Grand Prix
2021-05-09 13:17:47,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,10.0,2021,4,Spanish Grand Prix
2021-06-06 12:58:32,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,31.0,2021,6,Azerbaijan Grand Prix
2021-06-06 13:09:53,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,35.0,2021,6,Azerbaijan Grand Prix
2021-06-06 13:32:26,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,47.0,2021,6,Azerbaijan Grand Prix
2021-06-06 13:32:47,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,47.0,2021,6,Azerbaijan Grand Prix
2021-07-04 13:03:54,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2021,9,Austrian Grand Prix
2021-07-04 13:06:44,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,3.0,2021,9,Austrian Grand Prix
2021-07-04 13:12:25,Other,5 SECOND TIME PENALTY FOR CAR 99 (GIO) - OVERTAKING WHILE THE SAFETY CAR IS DEPLOYED ,,,,,,7.0,2021,9,Austrian Grand Prix
2021-07-18 14:04:31,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2021,10,British Grand Prix
2021-07-18 14:42:53,Other,SAFETY CAR WILL ENTER PITS: STANDING START,,,,,,3.0,2021,10,British Grand Prix
2021-08-01 13:04:23,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2021,11,Hungarian Grand Prix
2021-08-29 12:50:01,Other,FORMATION LAP WILL BE STARTED BEHIND THE SAFETY CAR,,,,,,1.0,2021,12,Belgian Grand Prix
2021-09-12 13:04:23,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2021,14,Italian Grand Prix
2021-09-12 13:05:02,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,2.0,2021,14,Italian Grand Prix
2021-09-12 13:40:42,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,26.0,2021,14,Italian Grand Prix
2021-09-12 13:50:56,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,30.0,2021,14,Italian Grand Prix
2021-09-12 14:11:06,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,44.0,2021,14,Italian Grand Prix
2021-09-12 14:12:01,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,44.0,2021,14,Italian Grand Prix
2021-10-24 19:49:35,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,28.0,2021,17,United States Grand Prix
2021-10-24 19:49:55,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,28.0,2021,17,United States Grand Prix
2021-11-07 19:04:03,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2021,18,Mexico City Grand Prix
2021-11-07 19:10:06,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4.0,2021,18,Mexico City Grand Prix
2021-11-14 17:09:53,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,6.0,2021,19,São Paulo Grand Prix
2021-11-14 17:11:25,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,7.0,2021,19,São Paulo Grand Prix
2021-11-14 17:15:59,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,9.0,2021,19,São Paulo Grand Prix
2021-11-14 17:20:10,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,12.0,2021,19,São Paulo Grand Prix
2021-11-14 17:23:29,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,14.0,2021,19,São Paulo Grand Prix
2021-11-14 17:44:10,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,30.0,2021,19,São Paulo Grand Prix
2021-11-14 17:44:58,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,31.0,2021,19,São Paulo Grand Prix
2021-11-21 15:24:10,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,55.0,2021,20,Qatar Grand Prix
