Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,IsAccurate,Season,Round,EventName
0 days 01:04:15.340000,VER,1,0 days 00:01:40.236000,1.0,1.0,,,,0 days 00:00:42.325000,0 days 00:00:24.389000,230.0,254.0,274.0,250.0,False,SOFT,4.0,False,Red Bull Racing,1,2.0,,,False,2022,1,Bahrain Grand Prix
0 days 01:05:53.220000,VER,1,0 days 00:01:37.880000,2.0,1.0,,,0 days 00:00:31.285000,0 days 00:00:42.269000,0 days 00:00:24.326000,230.0,252.0,276.0,296.0,True,SOFT,5.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:07:31.577000,VER,1,0 days 00:01:38.357000,3.0,1.0,,,0 days 00:00:31.499000,0 days 00:00:42.474000,0 days 00:00:24.384000,229.0,254.0,276.0,294.0,False,SOFT,6.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:09:10.143000,VER,1,0 days 00:01:38.566000,4.0,1.0,,,0 days 00:00:31.342000,0 days 00:00:42.674000,0 days 00:00:24.550000,231.0,250.0,276.0,297.0,False,SOFT,7.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:10:49.020000,VER,1,0 days 00:01:38.877000,5.0,1.0,,,0 days 00:00:31.498000,0 days 00:00:42.854000,0 days 00:00:24.525000,229.0,256.0,276.0,293.0,False,SOFT,8.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:12:27.960000,VER,1,0 days 00:01:38.940000,6.0,1.0,,,0 days 00:00:31.572000,0 days 00:00:42.759000,0 days 00:00:24.609000,229.0,255.0,275.0,288.0,False,SOFT,9.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:14:07.022000,VER,1,0 days 00:01:39.062000,7.0,1.0,,,0 days 00:00:31.637000,0 days 00:00:42.845000,0 days 00:00:24.580000,228.0,253.0,276.0,289.0,False,SOFT,10.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:15:46.114000,VER,1,0 days 00:01:39.092000,8.0,1.0,,,0 days 00:00:31.616000,0 days 00:00:42.875000,0 days 00:00:24.601000,229.0,253.0,276.0,290.0,False,SOFT,11.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:17:25.365000,VER,1,0 days 00:01:39.251000,9.0,1.0,,,0 days 00:00:31.625000,0 days 00:00:42.957000,0 days 00:00:24.669000,228.0,252.0,276.0,288.0,False,SOFT,12.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
0 days 01:19:04.757000,VER,1,0 days 00:01:39.392000,10.0,1.0,,,0 days 00:00:31.736000,0 days 00:00:43.051000,0 days 00:00:24.605000,228.0,248.0,275.0,288.0,False,SOFT,13.0,False,Red Bull Racing,1,2.0,,,True,2022,1,Bahrain Grand Prix
