Time,Driver,DriverNumber,LapNumber,Stint,PitInTime,PitOutTime,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 01:25:35.552000,VER,1,14.0,1.0,0 days 01:25:33.830000,,SOFT,17.0,False,Red Bull Racing,0 days 01:23:54.257000,1,1.0,2023,1
0 days 01:27:33.930000,VER,1,15.0,2.0,,0 days 01:25:58.127000,SOFT,1.0,False,Red Bull Racing,0 days 01:25:35.552000,1,2.0,2023,1
0 days 02:01:47.330000,VER,1,36.0,2.0,0 days 02:01:45.619000,,SOFT,22.0,False,Red Bull Racing,0 days 02:00:06.366000,1,1.0,2023,1
0 days 02:03:45.820000,VER,1,37.0,3.0,,0 days 02:02:10.556000,HARD,1.0,True,Red Bull Racing,0 days 02:01:47.330000,1,1.0,2023,1
0 days 01:17:56.943000,GAS,10,9.0,1.0,0 days 01:17:55.198000,,SOFT,9.0,True,Alpine,0 days 01:16:12.742000,1,19.0,2023,1
0 days 01:19:58.205000,GAS,10,10.0,2.0,,0 days 01:18:21.104000,HARD,1.0,True,Alpine,0 days 01:17:56.943000,1,20.0,2023,1
0 days 01:44:48.280000,GAS,10,25.0,2.0,0 days 01:44:46.559000,,HARD,16.0,True,Alpine,0 days 01:43:05.992000,1,12.0,2023,1
0 days 01:46:47.684000,GAS,10,26.0,3.0,,0 days 01:45:11.481000,HARD,1.0,True,Alpine,0 days 01:44:48.280000,1,17.0,2023,1
0 days 02:09:52.679000,GAS,10,40.0,3.0,0 days 02:09:50.970000,,HARD,15.0,True,Alpine,0 days 02:08:02.972000,126,10.0,2023,1
0 days 02:12:01.223000,GAS,10,41.0,4.0,,0 days 02:10:15.719000,SOFT,1.0,True,Alpine,0 days 02:09:52.679000,671,10.0,2023,1
0 days 01:30:42.752000,PER,11,17.0,1.0,0 days 01:30:41.043000,,SOFT,20.0,False,Red Bull Racing,0 days 01:29:01.392000,1,1.0,2023,1
0 days 01:32:41.549000,PER,11,18.0,2.0,,0 days 01:31:05.324000,SOFT,3.0,False,Red Bull Racing,0 days 01:30:42.752000,1,3.0,2023,1
0 days 01:58:45.520000,PER,11,34.0,2.0,0 days 01:58:43.794000,,SOFT,19.0,False,Red Bull Racing,0 days 01:57:04.834000,1,2.0,2023,1
0 days 02:00:44.305000,PER,11,35.0,3.0,,0 days 01:59:08.856000,HARD,1.0,True,Red Bull Racing,0 days 01:58:45.520000,1,2.0,2023,1
0 days 01:26:03.067000,ALO,14,14.0,1.0,0 days 01:26:01.361000,,SOFT,17.0,False,Aston Martin,0 days 01:24:20.855000,1,4.0,2023,1
0 days 01:28:02.759000,ALO,14,15.0,2.0,,0 days 01:26:27.142000,HARD,1.0,True,Aston Martin,0 days 01:26:03.067000,1,8.0,2023,1
0 days 01:59:09.527000,ALO,14,34.0,2.0,0 days 01:59:07.809000,,HARD,20.0,True,Aston Martin,0 days 01:57:29.174000,1,3.0,2023,1
0 days 02:01:06.916000,ALO,14,35.0,3.0,,0 days 01:59:32.653000,HARD,1.0,True,Aston Martin,0 days 01:59:09.527000,1,6.0,2023,1
0 days 01:24:06.557000,LEC,16,13.0,1.0,0 days 01:24:04.832000,,SOFT,13.0,True,Ferrari,0 days 01:22:24.489000,1,3.0,2023,1
