Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RoundNumber
0 days 01:27:31.964000,VER,1,0 days 00:01:39.896000,17.0,1.0,,0 days 01:27:30.291000,0 days 00:00:31.006000,0 days 00:00:42.060000,0 days 00:00:26.830000,0 days 01:26:23.095000,0 days 01:27:05.155000,0 days 01:27:31.985000,232.0,262.0,,293.0,False,SOFT,20.0,False,Red Bull Racing,0 days 01:25:52.068000,,1,1.0,,,False,False,2024,1
0 days 01:29:29.818000,VER,1,0 days 00:01:57.854000,18.0,2.0,0 days 01:27:55.379000,,0 days 00:00:52.815000,0 days 00:00:41.511000,0 days 00:00:23.528000,0 days 01:28:24.800000,0 days 01:29:06.311000,0 days 01:29:29.839000,232.0,252.0,277.0,212.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:27:31.964000,,1,1.0,,,False,False,2024,1
0 days 01:59:49.491000,VER,1,0 days 00:01:39.234000,37.0,2.0,,0 days 01:59:47.796000,0 days 00:00:30.877000,0 days 00:00:41.634000,0 days 00:00:26.723000,0 days 01:58:41.155000,0 days 01:59:22.789000,0 days 01:59:49.512000,233.0,264.0,,297.0,False,HARD,20.0,True,Red Bull Racing,0 days 01:58:10.257000,,1,1.0,,,False,False,2024,1
0 days 02:01:45.936000,VER,1,0 days 00:01:56.445000,38.0,3.0,0 days 02:00:12.014000,,0 days 00:00:51.526000,0 days 00:00:41.562000,0 days 00:00:23.357000,0 days 02:00:41.038000,0 days 02:01:22.600000,0 days 02:01:45.957000,236.0,258.0,280.0,217.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:59:49.491000,,1,1.0,,,False,False,2024,1
0 days 01:19:36.683000,PER,11,0 days 00:01:40.277000,12.0,1.0,,0 days 01:19:34.991000,0 days 00:00:30.891000,0 days 00:00:42.506000,0 days 00:00:26.880000,0 days 01:18:27.319000,0 days 01:19:09.825000,0 days 01:19:36.705000,228.0,257.0,,312.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:17:56.406000,,1,3.0,,,False,False,2024,1
0 days 01:21:34.307000,PER,11,0 days 00:01:57.624000,13.0,2.0,0 days 01:19:59.484000,,0 days 00:00:51.896000,0 days 00:00:41.803000,0 days 00:00:23.925000,0 days 01:20:28.601000,0 days 01:21:10.404000,0 days 01:21:34.329000,231.0,260.0,288.0,217.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:19:36.683000,,1,8.0,,,False,False,2024,1
0 days 01:58:31.852000,PER,11,0 days 00:01:39.365000,36.0,2.0,,0 days 01:58:30.216000,0 days 00:00:31.014000,0 days 00:00:41.781000,0 days 00:00:26.570000,0 days 01:57:23.523000,0 days 01:58:05.304000,0 days 01:58:31.874000,234.0,264.0,,299.0,False,HARD,24.0,True,Red Bull Racing,0 days 01:56:52.487000,,1,2.0,,,False,False,2024,1
0 days 02:00:27.660000,PER,11,0 days 00:01:55.808000,37.0,3.0,0 days 01:58:54.639000,,0 days 00:00:51.096000,0 days 00:00:41.214000,0 days 00:00:23.498000,0 days 01:59:22.970000,0 days 02:00:04.184000,0 days 02:00:27.682000,237.0,254.0,280.0,223.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:58:31.852000,,1,2.0,,,False,False,2024,1
0 days 01:22:52.561000,SAI,55,0 days 00:01:39.753000,14.0,1.0,,0 days 01:22:50.807000,0 days 00:00:31.011000,0 days 00:00:42.119000,0 days 00:00:26.623000,0 days 01:21:43.870000,0 days 01:22:25.989000,0 days 01:22:52.612000,235.0,258.0,,298.0,False,SOFT,17.0,False,Ferrari,0 days 01:21:12.808000,,1,2.0,,,False,False,2024,1
0 days 01:24:49.786000,SAI,55,0 days 00:01:57.225000,15.0,2.0,0 days 01:23:15.387000,,0 days 00:00:51.656000,0 days 00:00:42.013000,0 days 00:00:23.556000,0 days 01:23:44.268000,0 days 01:24:26.281000,0 days 01:24:49.837000,236.0,252.0,286.0,220.0,False,HARD,1.0,True,Ferrari,0 days 01:22:52.561000,,1,7.0,,,False,False,2024,1
0 days 01:56:58.352000,SAI,55,0 days 00:01:39.274000,35.0,2.0,,0 days 01:56:56.614000,0 days 00:00:30.872000,0 days 00:00:42.117000,0 days 00:00:26.285000,0 days 01:55:50.001000,0 days 01:56:32.118000,0 days 01:56:58.403000,236.0,255.0,,301.0,False,HARD,21.0,True,Ferrari,0 days 01:55:19.078000,,1,3.0,,,False,False,2024,1
0 days 01:58:53.972000,SAI,55,0 days 00:01:55.620000,36.0,3.0,0 days 01:57:20.500000,,0 days 00:00:50.852000,0 days 00:00:41.528000,0 days 00:00:23.240000,0 days 01:57:49.255000,0 days 01:58:30.783000,0 days 01:58:54.023000,237.0,250.0,280.0,222.0,False,HARD,1.0,True,Ferrari,0 days 01:56:58.352000,,1,3.0,,,False,False,2024,1
0 days 01:18:01.623000,LEC,16,0 days 00:01:41.737000,11.0,1.0,,0 days 01:17:59.892000,0 days 00:00:32.241000,0 days 00:00:42.647000,0 days 00:00:26.849000,0 days 01:16:52.127000,0 days 01:17:34.774000,0 days 01:18:01.623000,229.0,255.0,,297.0,False,SOFT,14.0,False,Ferrari,0 days 01:16:19.886000,,1,6.0,,,False,False,2024,1
0 days 01:19:59.094000,LEC,16,0 days 00:01:57.471000,12.0,2.0,0 days 01:18:23.940000,,0 days 00:00:51.178000,0 days 00:00:42.371000,0 days 00:00:23.922000,0 days 01:18:52.801000,0 days 01:19:35.172000,0 days 01:19:59.094000,234.0,257.0,283.0,220.0,False,HARD,1.0,True,Ferrari,0 days 01:18:01.623000,,1,13.0,,,False,False,2024,1
0 days 01:55:33.563000,LEC,16,0 days 00:01:39.614000,34.0,2.0,,0 days 01:55:31.860000,0 days 00:00:31.219000,0 days 00:00:41.932000,0 days 00:00:26.463000,0 days 01:54:25.168000,0 days 01:55:07.100000,0 days 01:55:33.563000,237.0,260.0,,296.0,False,HARD,23.0,True,Ferrari,0 days 01:53:53.949000,,1,4.0,,,False,False,2024,1
0 days 01:57:29.729000,LEC,16,0 days 00:01:56.166000,35.0,3.0,0 days 01:55:55.941000,,0 days 00:00:51.681000,0 days 00:00:41.260000,0 days 00:00:23.225000,0 days 01:56:25.244000,0 days 01:57:06.504000,0 days 01:57:29.729000,235.0,265.0,289.0,219.0,False,HARD,1.0,True,Ferrari,0 days 01:55:33.563000,,1,6.0,,,False,False,2024,1
0 days 01:17:58.083000,RUS,63,0 days 00:01:40.515000,11.0,1.0,,0 days 01:17:56.394000,0 days 00:00:31.392000,0 days 00:00:42.646000,0 days 00:00:26.477000,0 days 01:16:48.985000,0 days 01:17:31.631000,0 days 01:17:58.108000,229.0,251.0,,284.0,False,SOFT,14.0,False,Mercedes,0 days 01:16:17.568000,,1,4.0,,,False,False,2024,1
0 days 01:19:56.543000,RUS,63,0 days 00:01:58.460000,12.0,2.0,0 days 01:18:21.160000,,0 days 00:00:52.570000,0 days 00:00:42.189000,0 days 00:00:23.701000,0 days 01:18:50.678000,0 days 01:19:32.867000,0 days 01:19:56.568000,229.0,254.0,281.0,215.0,False,HARD,1.0,True,Mercedes,0 days 01:17:58.083000,,1,11.0,,,False,False,2024,1
0 days 01:50:41.467000,RUS,63,0 days 00:01:39.405000,31.0,2.0,,0 days 01:50:39.737000,0 days 00:00:31.061000,0 days 00:00:42.153000,0 days 00:00:26.191000,0 days 01:49:33.148000,0 days 01:50:15.301000,0 days 01:50:41.492000,232.0,260.0,,295.0,False,HARD,20.0,True,Mercedes,0 days 01:49:02.062000,,1,5.0,,,False,False,2024,1
0 days 01:52:38.734000,RUS,63,0 days 00:01:57.267000,32.0,3.0,0 days 01:51:04.687000,,0 days 00:00:52.151000,0 days 00:00:41.641000,0 days 00:00:23.475000,0 days 01:51:33.643000,0 days 01:52:15.284000,0 days 01:52:38.759000,230.0,257.0,282.0,217.0,False,HARD,1.0,True,Mercedes,0 days 01:50:41.467000,,1,9.0,,,False,False,2024,1
0 days 01:21:20.193000,NOR,4,0 days 00:01:40.635000,13.0,1.0,,0 days 01:21:18.561000,0 days 00:00:31.225000,0 days 00:00:42.508000,0 days 00:00:26.902000,0 days 01:20:10.806000,0 days 01:20:53.314000,0 days 01:21:20.216000,229.0,251.0,,300.0,False,SOFT,16.0,False,McLaren,0 days 01:19:39.558000,,1,3.0,,,False,False,2024,1
0 days 01:23:17.963000,NOR,4,0 days 00:01:57.770000,14.0,2.0,0 days 01:21:42.671000,,0 days 00:00:51.681000,0 days 00:00:42.243000,0 days 00:00:23.846000,0 days 01:22:11.897000,0 days 01:22:54.140000,0 days 01:23:17.986000,232.0,246.0,278.0,220.0,False,HARD,1.0,True,McLaren,0 days 01:21:20.193000,,1,9.0,,,False,False,2024,1
