Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Year,RoundNumber
2024-03-09 17:14:05,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,7.0,2024,2
2024-03-09 17:20:12,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,9.0,2024,2
2024-04-07 05:31:45,Other,ALL CARS MAY OVERTAKE THE SAFETY CAR,,,,,,2.0,2024,4
2024-04-21 07:43:21,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,23.0,2024,5
2024-04-21 07:47:18,Other,INCIDENT INVOLVING CARS 2 (SAR) AND 27 (HUL) NOTED - SAFETY CAR INFRINGEMENT,,,,,,25.0,2024,5
2024-04-21 07:49:36,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,26.0,2024,5
2024-04-21 07:53:02,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,27.0,2024,5
2024-04-21 08:00:59,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,31.0,2024,5
2024-04-21 08:03:58,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 2 (SAR) AND 27 (HUL) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,,32.0,2024,5
2024-04-21 08:05:50,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 2 (SAR) - SAFETY CAR INFRINGEMENT,,,,,,33.0,2024,5
2024-04-21 08:19:36,Other,INCIDENT INVOLVING CARS 27 (HUL) AND 3 (RIC) NOTED - SAFETY CAR INFRINGEMENT,,,,,,41.0,2024,5
2024-04-21 08:19:42,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 27 (HUL) AND 3 (RIC) WILL BE INVESTIGATED AFTER THE RACE - SAFETY CAR INFRINGEMENT,,,,,,42.0,2024,5
2024-05-05 20:47:06,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,28.0,2024,6
2024-05-05 20:54:50,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,32.0,2024,6
2024-05-05 21:15:30,Other,INCIDENT INVOLVING CAR 20 (MAG) NOTED - ENTERING PIT LANE UNDER SAFETY CAR CONDITIONS,,,,,,45.0,2024,6
2024-05-05 21:15:36,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE - ENTERING PIT LANE UNDER SAFETY CAR CONDITIONS,,,,,,45.0,2024,6
2024-05-26 13:43:45,Other,ALL CARS MAY OVERTAKE THE SAFETY CAR,,,,,,1.0,2024,8
2024-06-09 18:40:26,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,25.0,2024,9
2024-06-09 18:47:34,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,29.0,2024,9
2024-06-09 19:23:59,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,54.0,2024,9
2024-06-09 19:29:42,Other,LAPPED CAR MAY NOW OVERTAKE THE SAFETY CAR: 24,,,,,,57.0,2024,9
2024-06-09 19:31:31,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,58.0,2024,9
2024-10-20 19:08:06,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,3.0,2024,19
2024-10-20 19:13:07,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,5.0,2024,19
2024-10-27 20:04:31,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2024,20
2024-10-27 20:14:47,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,6.0,2024,20
2024-11-03 16:32:53,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,30.0,2024,21
2024-11-03 17:13:14,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,39.0,2024,21
2024-11-03 17:18:04,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,42.0,2024,21
2024-12-01 16:04:33,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0,2024,23
2024-12-01 16:10:56,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4.0,2024,23
2024-12-01 16:56:32,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,35.0,2024,23
2024-12-01 16:59:01,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,36.0,2024,23
2024-12-01 17:03:25,Other,"LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 44, 77",,,,,,38.0,2024,23
2024-12-01 17:03:37,Other,SAFETY CAR WILL USE START/FINISH STRAIGHT,,,,,,38.0,2024,23
2024-12-01 17:05:22,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,39.0,2024,23
2024-12-01 17:08:44,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,40.0,2024,23
2024-12-01 17:12:10,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,42.0,2024,23
2024-12-01 17:32:10,Other,INCIDENT INVOLVING CAR 63 (RUS) NOTED - SAFETY CAR INFRINGEMENT,,,,,,56.0,2024,23
2024-12-01 17:36:07,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 63 (RUS) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,,57.0,2024,23
2024-12-01 17:37:04,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - SAFETY CAR INFRINGEMENT,,,,,,57.0,2024,23
