Time,Category,Message,Status,Flag,Scope,Sector,Lap,Year,RoundNumber
2025-03-16 04:19:31,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2025,1
2025-03-16 04:21:22,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,2,2025,1
2025-03-16 04:30:00,Other,SAFETY CAR WILL USE START/FINISH STRAIGHT,,,,,5,2025,1
2025-03-16 04:33:54,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,7,2025,1
2025-03-16 04:36:21,Other,INCIDENT INVOLVING CAR 14 (ALO) NOTED - SAFETY CAR INFRINGEMENT,,,,,8,2025,1
2025-03-16 04:37:35,Other,INCIDENT INVOLVING CAR 22 (TSU) NOTED - SAFETY CAR INFRINGEMENT,,,,,9,2025,1
2025-03-16 04:37:41,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,9,2025,1
2025-03-16 04:38:41,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,10,2025,1
2025-03-16 04:51:45,Other,INCIDENT INVOLVING CAR 23 (ALB) NOTED - SAFETY CAR INFRINGEMENT,,,,,18,2025,1
2025-03-16 04:51:51,Other,INCIDENT INVOLVING CAR 44 (HAM) NOTED - SAFETY CAR INFRINGEMENT,,,,,18,2025,1
2025-03-16 04:52:52,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,19,2025,1
2025-03-16 04:53:00,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,19,2025,1
2025-03-16 04:54:00,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,,,,20,2025,1
2025-03-16 04:54:12,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,,,,20,2025,1
2025-03-16 04:54:21,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,,,,20,2025,1
2025-03-16 04:54:31,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,,,,20,2025,1
2025-03-16 05:15:09,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,34,2025,1
2025-03-16 05:28:35,Other,"LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 5, 31, 87, 30",,,,,40,2025,1
2025-03-16 05:30:50,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,41,2025,1
2025-03-16 05:41:06,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,47,2025,1
2025-03-16 05:47:04,Other,LAPPED CAR MAY NOW OVERTAKE THE SAFETY CAR: 87,,,,,50,2025,1
2025-03-16 05:49:42,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,51,2025,1
2025-04-13 15:56:09,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,32,2025,4
2025-04-13 16:02:20,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,35,2025,4
2025-04-13 16:12:46,Other,TURN 4 INCIDENT INVOLVING CARS 30 (LAW) AND 18 (STR) NOTED - SAFETY CAR INFRINGEMENT,,,,,41,2025,4
2025-04-13 16:14:09,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 30 (LAW) AND 18 (STR) REVIEWED NO FURTHER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,42,2025,4
2025-04-20 17:05:02,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2025,5
2025-04-20 17:09:28,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,3,2025,5
2025-05-18 14:06:27,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,46,2025,7
2025-05-18 14:18:03,Other,LAPPED CAR MAY NOW OVERTAKE THE SAFETY CAR: 87,,,,,52,2025,7
2025-05-18 14:20:09,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,53,2025,7
2025-05-18 14:23:24,Other,INCIDENT INVOLVING CARS 4 (NOR) AND 23 (ALB) NOTED - SAFETY CAR INFRINGEMENT,,,,,55,2025,7
2025-05-18 14:24:31,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 4 (NOR) AND 23 (ALB) REVIEWED NO FURTHER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,55,2025,7
2025-06-01 14:17:01,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,55,2025,9
2025-06-01 14:23:46,Other,"LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 30, 31, 5, 14, 87, 22, 55, 43",,,,,58,2025,9
2025-06-01 14:27:16,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,60,2025,9
2025-06-15 19:27:32,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,67,2025,10
2025-06-15 19:27:49,Other,ALL CARS TO FOLLOW THE SAFETY CAR THROUGH THE PIT LANE,,,,,67,2025,10
2025-06-15 19:48:27,Other,"INCIDENT INVOLVING CARS 12 (ANT), 81 (PIA), 31 (OCO), 16 (LEC), 55 (SAI), 10 (GAS) AND 18 (STR) NOTED - SAFETY CAR INFRINGEMENT",,,,,70,2025,10
2025-06-15 19:58:16,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 12 (ANT), 81 (PIA), 31 (OCO), 16 (LEC), 55 (SAI), 10 (GAS) AND 18 (STR) WILL BE INVESTIGATED AFTER THE RACE - SAFETY CAR INFRINGEMENT",,,,,70,2025,10
2025-06-29 13:18:56,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2025,11
2025-06-29 13:22:13,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,3,2025,11
2025-07-06 13:55:00,Other,FORMATION LAP WILL BE STARTED BEHIND THE SAFETY CAR,,,,,1,2025,12
2025-07-06 14:29:14,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,14,2025,12
2025-07-06 14:38:36,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,17,2025,12
2025-07-06 14:41:15,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,18,2025,12
2025-07-06 14:49:02,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,21,2025,12
2025-07-06 14:49:47,Other,INCIDENT INVOLVING CAR 81 (PIA) NOTED - SAFETY CAR INFRINGEMENT,,,,,22,2025,12
2025-07-06 14:51:57,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 81 (PIA) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,,,,23,2025,12
2025-07-06 14:55:02,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 81 (PIA) - SAFETY CAR INFRINGEMENT,,,,,25,2025,12
2025-07-06 15:33:41,Other,FIA STEWARDS: PENALTY SERVED - 10 SECOND TIME PENALTY FOR CAR 81 (PIA) - SAFETY CAR INFRINGEMENT,,,,,48,2025,12
2025-07-27 12:55:01,Other,FORMATION LAP WILL BE STARTED BEHIND THE SAFETY CAR,,,,,1,2025,13
2025-07-27 14:15:01,Other,RACE WILL START BEHIND THE SAFETY CAR,,,,,1,2025,13
2025-08-31 13:32:02,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,23,2025,15
2025-08-31 13:37:09,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,26,2025,15
2025-08-31 14:12:19,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,53,2025,15
2025-08-31 14:18:18,Other,LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 30 AND 55,,,,,56,2025,15
2025-08-31 14:19:34,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,57,2025,15
2025-08-31 14:30:28,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,65,2025,15
2025-08-31 14:36:08,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,68,2025,15
2025-09-21 11:05:16,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,1,2025,17
2025-09-21 11:12:23,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,4,2025,17
2025-11-09 17:04:58,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,2,2025,21
2025-11-09 17:11:15,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,5,2025,21
2025-11-30 16:13:01,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,7,2025,23
2025-11-30 16:20:04,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,10,2025,23
